date,Logistic Regression | Market,Logistic Regression | Market + Macro,Random Forest | Market,Random Forest | Market + Macro,XGBoost | Market,XGBoost | Market + Macro
2015-01-01,1.1225575462821853,1.1225575462821853,1.1030299026718573,1.1030299026718573,1.1030299026718573,1.0735844815275044
2015-02-01,1.171079040580325,1.171079040580325,1.1784546287864743,1.1799079881094654,1.1507789568875428,1.128994020577443
2015-03-01,1.1636333189730108,1.1636333189730108,1.1764501692819178,1.1779010565539385,1.1598172617622802,1.1581281718576533
2015-04-01,1.1655854175459894,1.1655854175459894,1.1774637505310803,1.1599081670063844,1.1287259491348351,1.1263228928146602
2015-05-01,1.1427223588945579,1.1427223588945579,1.1584129474389646,1.1476285915844764,1.110463700473481,1.0951736526421187
2015-06-01,1.2343543864690927,1.219270787266916,1.2346561407079315,1.2157869033774489,1.1839572874753599,1.1676553016039897
2015-07-01,1.153733603950361,1.139635176903125,1.1295407815883538,1.1123267055875268,1.0849694851247862,1.0700304688237101
2015-08-01,1.1103702827007687,1.0968017480126266,1.1060863623372295,1.1046621656503504,1.0859401214490796,1.0598278567246187
2015-09-01,1.2286247128054542,1.2136111292341603,1.2630567031694777,1.261430391487817,1.2484951089808543,1.1940844780074054
2015-10-01,1.2776824849603885,1.262069423815192,1.3460872568451128,1.344354035031042,1.2855756091887631,1.2725809501734162
2015-11-01,1.1807921315420358,1.1893366367389797,1.2264457208096493,1.2445701919712087,1.2094065343871934,1.1890382198862144
2015-12-01,1.113972595860667,1.1220335782980706,1.1522071553636755,1.1966517224049469,1.1409677457815897,1.121752048478178
2016-01-01,1.1196102668504846,1.1277120448756843,1.1851948022717218,1.2309118155720826,1.1472688515244023,1.127947033657041
2016-02-01,1.1836103829350246,1.2012114266723413,1.2256416795862073,1.2729188671504108,1.186421438420155,1.1664402292060918
2016-03-01,1.1814978151596975,1.1990674436624509,1.191675642626029,1.2298860226719686,1.160857881646643,1.1450248861293217
2016-04-01,1.1900341836213417,1.2167039897890652,1.2515537007606807,1.2837920117869683,1.2298958552817947,1.1778652722504612
2016-05-01,1.123972153784985,1.1491614465733193,1.2610181328125307,1.1259232386960838,1.1497327894497211,1.1097260605220325
2016-06-01,1.2528308302084794,1.2809079693885757,1.3885186823508484,1.239764449965212,1.2670057567034838,1.2085704297619357
2016-07-01,1.2948601110558293,1.3238791666858856,1.4339387924677955,1.2818521881139453,1.2948746819727497,1.2086597272103055
2016-08-01,1.3231966996736393,1.3528508054025017,1.435858016975976,1.3082823780357948,1.2743333305461215,1.2093862093410013
2016-09-01,1.4064848267239631,1.4380054991742497,1.5538216470380881,1.4062293054893429,1.3790268195980249,1.3060331978516058
2016-10-01,1.4020388378140451,1.4334598713933788,1.5697444678048913,1.4128755345149155,1.3711884677766815,1.3122058723322463
2016-11-01,1.5634895455176323,1.5985288441345245,1.757310008374964,1.5816971286181283,1.5350289599439388,1.4633119337528808
2016-12-01,1.5686260036147945,1.6037804151786301,1.7630832156519936,1.5868934032250424,1.528533977716988,1.457120189449922
2017-01-01,1.5917748763807473,1.6274480763610557,1.7801323838180143,1.6223470832885154,1.5504534364255582,1.478015561284427
2017-02-01,1.700221042571697,1.7383246250332416,1.9346451344789035,1.7631643127509316,1.680089305082619,1.6015947844163945
2017-03-01,1.6617454651307364,1.6989867730402852,1.9287112907911428,1.8066905241116171,1.6883620893449418,1.5718936152219911
2017-04-01,1.7147150015829014,1.7531434075518306,1.8291520986148226,1.6989612136392838,1.6012096127047721,1.5314664623030598
2017-05-01,1.747058071405939,1.7862113165558948,1.893019305440649,1.782815719281667,1.680239457191674,1.607054040214405
2017-06-01,1.7521518312964763,1.7860710322631992,1.8596635334755018,1.7576170178198802,1.6464968420304553,1.5747811366171587
2017-07-01,1.7945970082340814,1.8293378882704483,1.82653522351392,1.7263065789625518,1.6288829310670507,1.5579344266696211
2017-08-01,1.8965139186655617,1.9332277670857672,1.9377711489370995,1.8258708288119931,1.7443266066403924,1.6683497751803755
2017-09-01,1.9376954300398619,1.9752064947374859,2.031301339888046,1.9059210986333273,1.7400344113200252,1.7414939689273379
2017-10-01,1.8690057411101222,1.9051870698102524,1.9618916154009671,1.828140154442104,1.6805773003950573,1.6996159889496922
2017-11-01,1.8553392402204214,1.9019138047588926,1.964490179557444,1.8138943883036307,1.6877305139052137,1.6783797580987903
2017-12-01,1.9522845437291845,2.0012927253642436,2.0709796129009286,1.933833753625604,1.7464137063013974,1.709570128446563
2018-01-01,1.8674915235258462,1.914371146724658,2.0030406579734246,1.8304455398683521,1.6791171300770356,1.6452919853617898
2018-02-01,1.8136089516086404,1.8591359610811569,1.9015228945111524,1.7661798882636723,1.6098678814678995,1.5905577023333755
2018-03-01,1.8727350940592726,1.9197463465628104,2.0299243748680853,1.9093607230484768,1.7403768000064437,1.7195011814811203
2018-04-01,1.7949670826842241,1.840026125486001,1.9456288531063548,1.945971933734495,1.668105156670919,1.6480964281526707
2018-05-01,1.844079863155018,1.8903717836505955,2.0042370280411888,1.9690156633200935,1.7183534857269869,1.6641163372119192
2018-06-01,1.857266424394918,1.9038893670206778,2.106127125791799,2.0865706593584754,1.794453049453466,1.729940968242382
2018-07-01,1.8859378721520288,1.9332805538772626,2.01521782403805,2.096508788048011,1.7175978678863475,1.6534387722159498
2018-08-01,1.8284392792807356,1.874338574337644,2.001007674401063,2.1489529164607433,1.7593844671680745,1.6418122967878745
2018-09-01,1.676705072172756,1.7187953847705835,1.8660619979551916,2.0641449287567433,1.6619672857190355,1.543247601317219
2018-10-01,1.6731263470359838,1.7151268229283534,1.8330175636457609,2.0275928197816993,1.6640932941713087,1.5452217421276568
2018-11-01,1.5913143130808434,1.6312610622083898,1.7619720751119032,2.0141940046801556,1.5995951009215004,1.5143825883439717
2018-12-01,1.6166197871774435,1.6973109278404364,1.7760548163333147,2.0441340269763253,1.6123800276428188,1.544887345660607
2019-01-01,1.6930332796470806,1.7775384846425306,1.834840737687608,2.1541068774145886,1.714303843138503,1.6227435603872762
2019-02-01,1.7211453554988927,1.8070537323996227,1.9432896463433589,2.2814261238129827,1.7677205840887942,1.684230768472317
2019-03-01,1.911511262225069,2.00692146650594,2.0445899942352344,2.4477930805251424,1.7880709362661182,1.754487569725283
2019-04-01,1.7173264081491066,1.8030441680474776,1.849310789433274,2.27990046123889,1.6155174905845244,1.6745125632755251
2019-05-01,1.8564650789035093,1.9491277358905814,2.0141066303571544,2.48306702246776,1.7594795357471444,1.8237317792014534
2019-06-01,1.8307287134738923,1.9221067785615538,2.060981545594479,2.5408561953211017,1.800428437288335,1.8661760427162026
2019-07-01,1.7742886581181436,1.862849602889785,1.9735730763869643,2.52832918192724,1.7365302791452242,1.7999444672585507
2019-08-01,1.8775778123476758,1.971294279610755,2.105355511100951,2.6355261770630567,1.8524845302841098,1.9345993922118372
2019-09-01,1.9520150275901005,2.049446916285807,2.1448832712043546,2.7586344377231407,1.8889267623792099,2.012922661440378
2019-10-01,2.0166248617082747,2.117281652916244,2.2499666433382814,2.893787064951174,1.99478147232046,2.0782450629583042
2019-11-01,2.0624549350646597,2.165399265324871,2.306726082605182,2.944390480022388,2.0441631092778985,2.0703930022166284
2019-12-01,1.9806081897547594,2.0794672630541235,2.215493830499631,2.8248753440125136,1.934132769965227,1.972551274717316
2020-01-01,1.8166721793839857,1.8944586081200823,2.1384338073630342,2.667460114958019,1.8263538714551724,1.8626315179430903
2020-02-01,1.212725423584941,1.3381217059199813,1.7084010098348468,2.1310416709638256,1.4631716057329869,1.4922352078604586
2020-03-01,1.1801105484263836,1.3021344399348058,1.662455501830401,2.1908048048961177,1.5502908623355258,1.581084951441843
2020-04-01,1.2323855787946876,1.3598147288551727,1.794714493079031,2.35491817486923,1.6664232796498422,1.699524156529856
2020-05-01,1.3717365815548561,1.5135746797135265,1.9323969336467228,2.5208493973428547,1.8077579566929443,1.8861245485277414
2020-06-01,1.3715216260345064,1.5133374977084386,1.9320941208516285,2.514087660461681,1.8078493351977334,1.885828986763752
2020-07-01,1.4771282954646976,1.6298639379942492,2.028396638118827,2.676677822351635,1.9232168048189149,1.999923014216387
2020-08-01,1.2908163635968481,1.4242872796215122,1.8325244831748166,2.345788043684904,1.7521919624738251,1.822076961004056
2020-09-01,1.276407699280529,1.4083887537886934,1.7730633942088325,2.269672765094335,1.6562793345889866,1.806121729736652
2020-10-01,1.676535257890315,1.7672050704877478,2.23400237981337,2.8949155118803995,2.167117092346619,2.3631746104845512
2020-11-01,1.7089729497985426,1.8013970466751579,2.3451923168369984,2.8958631821971594,2.2910330727539017,2.477223395486964
2020-12-01,1.6321047782161224,1.6959592064615692,2.251380929575121,2.78002409280047,2.1993881405771845,2.3544776759030848
2021-01-01,1.928553023677051,2.0040056859764186,2.2761752008755507,2.810640267377215,2.342508107617706,2.6409084011044266
2021-02-01,2.0470428909092675,2.127131347935774,2.3967310624577283,3.030962648217903,2.5380764611727487,2.9031239199545094
2021-03-01,2.1165132951571444,2.167608471771668,2.354830780665977,3.0514069242275186,2.478720868617381,2.8578427948676186
2021-04-01,2.2721726435884086,2.3093071285205142,2.4863156876851904,3.2217860270505123,2.6171233328677284,2.8966736025060826
2021-05-01,2.2978320136566612,2.3353858538229986,2.519983904592195,3.265413548416346,2.6118147436334342,2.997737867703934
2021-06-01,2.2922682240508405,2.329731134303967,2.536948293548577,3.320110340731484,2.6725517760737487,3.0315545053274047
2021-07-01,2.258215973332615,2.2951223621458903,2.4699177953600433,3.2621001699828427,2.6258559831771593,3.0674249464410965
2021-08-01,2.0873796623703584,2.121494045728773,2.250905745962695,3.0178039756425683,2.4668509230629323,2.8262628476989113
2021-09-01,2.1948047235923194,2.2306747720972773,2.296525452995717,3.122203844380909,2.671588320869724,2.931858819392695
2021-10-01,2.1642381898405993,2.2233994927786926,2.229726405573598,3.0313882854284646,2.560537880865891,2.8910501340062873
2021-11-01,2.2985038364478596,2.3613354057320506,2.355191019091417,3.201961661024241,2.7032346029811984,3.113367728439597
2021-12-01,2.3035772137554527,2.3665474681498235,2.304402626594067,3.2090291974682645,2.7092013231033887,3.1342210013147964
2022-01-01,2.178349675195439,2.2378967276614277,2.2583386040024456,3.105449897458343,2.6346335562267837,3.0190752329020047
2022-02-01,2.186599808258487,2.2463723851716986,2.311455997202353,3.22684546818533,2.6966016181886814,3.068599433943638
2022-03-01,2.09127821427019,2.148445093841512,2.1700027372217576,3.029373480191233,2.531578753715633,2.8808115660234606
2022-04-01,2.1916060788655987,2.259500426026193,2.1962901444199274,3.122449926608691,2.658601533839874,2.8054256396362476
2022-05-01,1.9977556780656434,2.099387134659156,2.0048916340279583,2.94219099657451,2.5135304542244032,2.663272776745815
2022-06-01,2.300783675586387,2.4178310196754453,2.0192636454259043,3.047643223171681,2.5460198460154393,2.8877550262834832
2022-07-01,2.311242899238228,2.431660117097506,1.9311627222060321,2.914673869608353,2.4852438736552878,2.7773222457057534
2022-08-01,2.2129474971386163,2.2955933992762456,1.813933900559475,2.636047937689768,2.3422804112214246,2.6175569974137622
