date,Logistic Regression | Market,Logistic Regression | Market + Macro,Random Forest | Market,Random Forest | Market + Macro,XGBoost | Market,XGBoost | Market + Macro
2015-01-01,0.12255754628218538,0.12255754628218538,0.1030299026718572,0.1030299026718572,0.1030299026718572,0.07358448152750433
2015-02-01,0.0432240596117667,0.0432240596117667,0.06837958420883827,0.06969719066671451,0.0432889934352853,0.05161171757168235
2015-03-01,-0.006358000911385599,-0.006358000911385599,-0.00170092208524035,-0.00170092208524035,0.0078540755552072,0.025805407955402027
2015-04-01,0.0016775891005780252,0.0016775891005780252,0.0008615590151015984,-0.015275382806934672,-0.02680707871186825,-0.027462658983570823
2015-05-01,-0.019615086382572623,-0.019615086382572623,-0.0161795240690197,-0.010586678989941499,-0.0161795240690197,-0.027655693026624073
2015-06-01,0.0801874811158656,0.06698777509386374,0.06581693811134143,0.059390566157705604,0.06618279100032048,0.06618279100032048
2015-07-01,-0.06531412972035522,-0.06531412972035522,-0.08513735578175342,-0.08509731228598555,-0.08360757892005792,-0.08360757892005792
2015-08-01,-0.0375852112663766,-0.0375852112663766,-0.0207645616992623,-0.006890547443188524,0.0008946208511862001,-0.00953487998365795
2015-09-01,0.10649999549434422,0.10649999549434422,0.14191508563631516,0.14191508563631516,0.14969056241780726,0.12667776227141692
2015-10-01,0.03992901302051417,0.03992901302051417,0.06573778791346463,0.06573778791346463,0.029700156565433053,0.06573778791346463
2015-11-01,-0.0758328884983944,-0.0576297830402574,-0.08888096624276262,-0.07422437874226286,-0.05924900430371005,-0.06564826408553218
2015-12-01,-0.05658873725226035,-0.05658873725226035,-0.060531472519602905,-0.0385020225258378,-0.05658873725226035,-0.05658873725226035
2016-01-01,0.005060870447591124,0.005060870447591124,0.02862996185580395,0.02862996185580395,0.00552259760725855,0.005522597607258551
2016-02-01,0.057162852091893944,0.06517566441773645,0.0341267758152152,0.0341267758152152,0.0341267758152152,0.0341267758152152
2016-03-01,-0.0017848506618270994,-0.0017848506618270994,-0.02771286055778188,-0.03380643149298013,-0.021546775829971852,-0.018359571747063177
2016-04-01,0.0072250395659769,0.014708552233513224,0.0502469430378737,0.04383006890174035,0.05947151216927893,0.028680936562133726
