model,feature_set,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
Logistic Regression,Market,2.7358909091618813,0.14342998865913525,0.24595893789572054,0.5831460726178018,-0.4278126865402826
Logistic Regression,Market + Macro,3.1707663240745063,0.15630605317020962,0.23631848425814417,0.6614211903943477,-0.398663119182573
Random Forest,Market,2.1145302407047355,0.12247199329836533,0.21359500242872667,0.5733841705366319,-0.28499374418773826
Random Forest,Market + Macro,3.141001031093329,0.15546414927192487,0.20950695440888212,0.7420476790880881,-0.27623673374068847
XGBoost,Market,3.3640329597110092,0.1616448146692091,0.21798980080197713,0.7415246680098027,-0.28421973809621637
XGBoost,Market + Macro,3.4288242593080556,0.16338711335564193,0.21466984183728188,0.7611088355833798,-0.2819734137915778
