model,feature_set,accuracy,precision,recall,f1,auc
Logistic Regression,Market,0.5051136363636364,0.5568012013108006,0.5054942896997603,0.5274734248518589,0.5022448514837776
Logistic Regression,Market + Macro,0.5092045454545453,0.49749028136192736,0.592505498621765,0.5119926792780303,0.5031214454808575
Random Forest,Market,0.5482196969696969,0.5520738350766676,0.9564658619407851,0.6994564838901196,0.501175919825659
Random Forest,Market + Macro,0.5421590909090909,0.5487012942797007,0.9488063153497169,0.6947750744073169,0.49929063054926726
XGBoost,Market,0.5485984848484848,0.5503988627491332,0.9887181722421996,0.7066507025011699,0.5021068722059651
XGBoost,Market + Macro,0.5485984848484848,0.5503159632178802,0.9894017160316662,0.7067809531087397,0.5056840676771132
