date,ticker,return_1m,index_return,target,return_lag1,ret_3m,ret_6m,vol_3m,vol_6m,excess_return,rank_ret_3m,inflation,unemployment,interest_rate
2010-08-01,ADS.DE,-0.03356587824244506,-0.04346603239639579,1,0.04225691252561847,-0.04849176374847508,0.14078240521915253,0.05782286683614081,0.07128400502574313,0.009900154153950735,0.1,1.7,8.9,1.0
2010-09-01,ADS.DE,0.13058612508052247,0.04763718465769817,0,-0.03356587824244506,-0.008687972726776794,0.12130489292192348,0.03993234549211065,0.07373741847729627,0.0829489404228243,0.25,1.6,8.5,1.0
2010-10-01,ADS.DE,0.03215178335220936,0.035332468918469084,1,0.13058612508052247,0.1392771593636959,0.16368009820717588,0.08215536661855034,0.08299986489207392,-0.003180685566259722,0.75,1.9,8.5,1.0
2010-11-01,ADS.DE,0.03178999733690713,-0.0681900465962687,0,0.03215178335220936,0.12917203019028678,0.0806802664418117,0.0826176039270681,0.07155283655460824,0.09998004393317583,0.8,1.9,8.4,1.0
2010-12-01,ADS.DE,0.010959499591422173,0.05350079730495727,0,0.03178999733690713,0.19452790576963896,0.18583993304286217,0.056935819682838146,0.05754188347820087,-0.0425412977135351,0.75,1.9,8.1,1.0
2011-01-01,ADS.DE,-0.06954399900922048,0.0575797260535984,1,0.010959499591422173,0.07490128028053866,0.21417843964423455,0.012132280744933114,0.05382211807158737,-0.12712372506281888,0.65,2.2,8.2,1.0
2011-02-01,ADS.DE,0.022202821037706322,0.02013123087091251,0,-0.06954399900922048,-0.02679450208089118,0.1023775281093956,0.053515265327981155,0.06845927850676047,0.002071590166793813,0.1,2.3,8.1,1.0
2011-03-01,ADS.DE,-0.043978575923076746,-0.03391208785688293,1,0.022202821037706322,-0.036381678380091986,0.15814622738954698,0.050041157315439386,0.06384065995724675,-0.010066488066193813,0.1,2.4,7.9,1.0
2011-04-01,ADS.DE,0.1305815173027851,0.034470351512154496,1,-0.043978575923076746,-0.0913197538945909,-0.016418473614052242,0.047348085406517845,0.04331967733609096,0.09611116579063061,0.15,2.7,8.0,1.0
2011-05-01,ADS.DE,0.042379487291985374,-0.06371111586757994,1,0.1305815173027851,0.10880576241741469,0.0820112603365235,0.08812599432519001,0.06974915189905949,0.10609060315956531,0.85,2.8,7.8,1.25
2011-06-01,ADS.DE,0.0601246792130401,0.010332030915128243,1,0.042379487291985374,0.12898242867169374,0.09260075029160175,0.08728166982754194,0.07043005411074299,0.04979264829791186,1.0,2.7,7.9,1.25
2011-07-01,ADS.DE,-0.053199402761718306,-0.06254450901939468,1,0.0601246792130401,0.23308568380781058,0.14176592991321968,0.0466523596544084,0.0726310985383747,0.009345106257676372,1.0,2.7,8.0,1.25
2011-08-01,ADS.DE,-0.06381522362541858,-0.13791722603995893,0,-0.053199402761718306,0.04930476374330717,0.15811052616072185,0.06095430476408101,0.06863424475292364,0.07410200241454035,0.8,2.5,7.9,1.5
2011-09-01,ADS.DE,-0.05589357994218935,-0.053178065862649726,1,-0.06381522362541858,-0.05688994717409679,0.07209248149759695,0.06869757725427018,0.0780166444216541,-0.002715514079539627,0.75,2.5,7.8,1.5
2011-10-01,ADS.DE,0.11764040728005387,0.09430831729837075,1,-0.05589357994218935,-0.17290820632932624,0.06017747747848434,0.005518252771998205,0.07985690621948835,0.023332089981683124,0.75,3.0,7.7,1.5
