date,inflation,unemployment,interest_rate
2023-07-01,5.3,7.1,4.25
2023-08-01,5.2,8.2,4.25
2023-09-01,4.3,8.1,4.5
2023-10-01,2.9,7.9,4.5
2023-11-01,2.4,8.0,4.5
2023-12-01,2.9,8.2,4.5
2024-01-01,2.8,7.9,4.5
2024-02-01,2.6,8.0,4.5
2024-03-01,2.4,8.8,4.5
2024-04-01,2.4,8.6,4.5
2024-05-01,2.6,8.1,4.5
2024-06-01,2.5,8.3,4.25
2024-07-01,2.6,8.6,4.25
2024-08-01,2.2,8.3,4.25
2024-09-01,1.7,8.6,3.65
2024-10-01,2.0,8.2,3.4
2024-11-01,2.2,8.3,3.4
2024-12-01,2.4,8.5,3.15
2025-01-01,2.5,9.8,3.15
2025-02-01,2.3,8.9,2.9
2025-03-01,2.2,8.1,2.65
2025-04-01,2.2,8.6,2.4
2025-05-01,1.9,9.1,2.4
2025-06-01,2.0,8.3,2.15
2025-07-01,2.0,8.9,2.15
2025-08-01,2.0,8.8,2.15
2025-09-01,2.2,8.7,2.15
2025-10-01,2.1,9.3,2.15
2025-11-01,2.1,9.0,2.15
2025-12-01,2.0,8.8,2.15
2026-01-01,1.7,8.0,2.15
2026-02-01,1.9,8.4,2.15
